customer_id,company_name,first_name,last_name,email,phone,address,city,state,zip_code,customer_type,credit_limit,payment_terms,created_date
CUST-00029,Davis-Lewis,Danielle,Maddox,buchananjohn@example.org,001-431-283-9335,28421 David Knolls Apt. 950,West Brian,WA,97719,B2B,19785.18,Net 30,2024-05-08
CUST-00030,"Wilson, Brown and West",Michael,Wheeler,ngordon@example.org,001-384-770-0766x177,24998 James Ranch,Shawnchester,NE,13500,B2B,5127.6,Net 30,2025-02-22
CUST-00031,"Wilson, Pena and Rich",Andrea,Glenn,ohayes@example.com,376-361-5654x52711,52809 Santiago Loop Suite 604,Michaelshire,MD,67008,B2B,16279.44,Net 30,2023-11-29
CUST-00032,,Eric,Olson,bellangela@example.org,001-649-636-8998x094,0229 Jones Streets Apt. 183,Barnesmouth,NY,21132,B2C,1000.0,Due on Receipt,2024-03-30
CUST-00033,,Larry,Nguyen,wareeric@example.net,6145767976,6149 Rose Inlet,East Randallton,PA,01508,B2C,1000.0,Due on Receipt,2023-11-22
CUST-00034,Dougherty-Saunders,Kathryn,Roberts,smithjulie@example.org,(268)838-8516,1596 Mckinney Mall,Dariustown,CA,43069,B2B,31498.38,Net 30,2023-10-28
CUST-00035,,Laurie,Montgomery,christopher13@example.com,001-468-316-4535,835 Luna Viaduct,East Curtis,OH,34051,B2C,1000.0,Due on Receipt,2023-11-17
CUST-00036,,Glenn,Hernandez,thompsonkendra@example.com,999.679.9552x717,058 Lance Mission Apt. 054,Lake Michelleland,AR,81111,B2C,1000.0,Due on Receipt,2024-09-20
CUST-00037,,William,Ford,colelisa@example.net,759.378.2071,37788 Michael Haven,Ortizmouth,VA,89485,B2C,1000.0,Due on Receipt,2024-09-23
CUST-00038,,Brian,Mccoy,cameron18@example.net,(344)692-5192x5462,528 Debbie Manors Suite 054,East Matthew,DE,64237,B2C,1000.0,Due on Receipt,2023-11-13
CUST-00039,Cooke and Sons,Chris,Richard,romeroamber@example.net,805.792.9622x29270,9473 Kyle Valleys,Mckeeborough,KS,48714,B2B,31714.97,Net 60,2024-11-24
CUST-00040,,Stacey,Joyce,xhammond@example.com,386.623.9240x75818,47826 Stacey Forges,Wilkersontown,NH,54882,B2C,1000.0,Due on Receipt,2023-07-28
CUST-00041,,Randy,Brooks,xvang@example.org,4519522047,010 Lewis Drive Suite 143,Davidbury,DC,55528,B2C,1000.0,Due on Receipt,2024-10-25
CUST-00042,"Bryant, Rodriguez and Stein",Candice,Smith,jennifercarter@example.org,+1-253-896-2185x188,65405 Michael Street Apt. 952,West Amyburgh,OH,90243,B2B,28465.3,Net 60,2024-06-11
CUST-00043,,Tina,Mendoza,lisabrown@example.com,8439030548,34505 Martinez Land Suite 676,Terrifort,NY,91211,B2C,1000.0,Due on Receipt,2024-07-07
CUST-00044,,Michael,Salinas,laurie61@example.com,+1-828-445-1154x479,7059 Hill Turnpike Apt. 165,North Douglas,ID,80136,B2C,1000.0,Due on Receipt,2024-11-24
CUST-00045,Johnson-Jones,Kimberly,Diaz,cherring@example.net,(775)857-1928,431 Jill Parks Suite 814,Janeborough,CA,80700,B2B,35874.39,Net 60,2024-01-24
CUST-00046,"Hendricks, Henry and Martinez",Melissa,Hayes,zosborn@example.net,451-588-4422x58313,58957 Cheryl Corners Apt. 467,Hammondshire,CT,10167,B2B,8307.08,Net 30,2023-09-22
CUST-00047,,Teresa,Day,howens@example.com,(489)622-6801,53584 John Roads,Davidport,NC,81035,B2C,1000.0,Due on Receipt,2024-08-04
CUST-00048,,Clarence,Davidson,georgeweber@example.net,690-601-0943x96907,64710 Scott Orchard Suite 359,West Michelle,PA,42354,B2C,1000.0,Due on Receipt,2025-01-07
CUST-00049,,Vanessa,Reed,xanderson@example.net,+1-415-337-1473,6963 Lisa Ports,Jamesburgh,MO,65809,B2C,1000.0,Due on Receipt,2024-07-20
CUST-00050,,Steven,Koch,zjohnson@example.net,233.395.0047x974,45650 Williams Points Apt. 584,South Williamside,TX,37164,B2C,1000.0,Due on Receipt,2025-03-19
CUST-00051,,Veronica,Becker,andersoncolin@example.com,985-923-9868x00025,825 Martin Ridges,Brittneyhaven,NE,67310,B2C,1000.0,Due on Receipt,2024-08-03
CUST-00052,,Tracy,Hart,xcabrera@example.com,+1-916-494-0974x9930,30913 Scott Manor Apt. 636,Salaston,FL,93008,B2C,1000.0,Due on Receipt,2023-10-02
CUST-00053,,April,Hoffman,ufox@example.org,685.585.4973x348,3757 Castro Underpass Suite 419,Huangfurt,CO,45738,B2C,1000.0,Due on Receipt,2025-02-06
CUST-00054,,Linda,Roberts,stephanie15@example.com,+1-547-533-8484x2199,833 Craig Isle,Garciaberg,SC,01180,B2C,1000.0,Due on Receipt,2024-08-17
CUST-00055,,Tiffany,Moore,mwoods@example.com,440-619-3802x62067,49915 Gibson Row,Smallberg,ND,66589,B2C,1000.0,Due on Receipt,2024-06-14
CUST-00056,,Joshua,Lamb,francisco74@example.net,(805)749-3296,1227 Boyle Avenue,Patrickmouth,WI,99297,B2C,1000.0,Due on Receipt,2024-01-10
CUST-00057,,Stephanie,Turner,greenmichael@example.org,6177426841,27279 Perry Plaza,Toddborough,GA,32936,B2C,1000.0,Due on Receipt,2024-11-26
CUST-00058,,Karen,Marks,foxallison@example.com,491-408-8398,713 Davis Pass Suite 072,Bryantton,WA,73743,B2C,1000.0,Due on Receipt,2024-06-10
CUST-00059,,Emily,Parker,fosterlisa@example.net,391.906.5180,6226 Haney Light,Kanefurt,FL,49737,B2C,1000.0,Due on Receipt,2023-08-18
CUST-00060,,Felicia,Stanley,desireebailey@example.org,+1-868-823-0047,75243 Antonio Shore,Mendeztown,UT,32045,B2C,1000.0,Due on Receipt,2023-11-24
CUST-00061,,Carlos,Wheeler,tharper@example.org,606.573.8302,953 Walter Shore Apt. 644,New Stacyburgh,CA,82551,B2C,1000.0,Due on Receipt,2024-11-25
CUST-00062,,Ronald,Simpson,shelly68@example.com,001-466-924-6287x334,668 Paul Glens,West Deborah,FL,59455,B2C,1000.0,Due on Receipt,2025-04-04
CUST-00063,,Nathan,Nichols,brettbennett@example.net,+1-501-539-8373x540,739 Randy Garden,Kimberlyfurt,WA,61613,B2C,1000.0,Due on Receipt,2024-08-04
CUST-00064,,Deborah,Parker,william77@example.org,001-875-635-5609x320,53693 Pierce Spur,Jonathanfort,HI,95339,B2C,1000.0,Due on Receipt,2024-10-27
CUST-00065,,Jodi,Murray,gary87@example.org,+1-508-301-0062,38750 Hopkins Brook,New Andreatown,CA,02693,B2C,1000.0,Due on Receipt,2024-08-01
CUST-00066,,Jennifer,Nichols,andre62@example.org,682-833-9845,6793 Kevin Views,Lake Victoriaton,FL,12756,B2C,1000.0,Due on Receipt,2024-04-26
CUST-00067,Bennett-Alvarez,Dana,Warner,porterryan@example.com,001-218-303-3974,902 Smith Fords Apt. 614,New John,GA,51508,B2B,41529.62,Due on Receipt,2024-11-23
CUST-00068,,Peggy,Rivera,krystalnorris@example.org,650.916.3159x99650,58662 Miller River Suite 311,Ericberg,MI,97449,B2C,1000.0,Due on Receipt,2024-04-14
CUST-00069,,Levi,Rodriguez,hahnsean@example.com,821-326-7888,58199 Shields Bridge,Robertland,OK,95507,B2C,1000.0,Due on Receipt,2025-05-16
CUST-00070,,Anita,Haney,ashleyjackson@example.com,(824)644-7212,7154 Jennifer Park Apt. 712,Adamfurt,PA,44045,B2C,1000.0,Due on Receipt,2025-03-31
CUST-00071,"James, Atkins and Alexander",Ryan,Colon,kevinmorrison@example.net,575.726.5479,6519 Brittany Plains Apt. 807,South Lauren,WA,91312,B2B,24032.16,Due on Receipt,2023-08-09
CUST-00072,,Lori,Flynn,ichambers@example.net,834-226-6179x7968,891 Kayla Shoals Suite 290,Rasmussenmouth,OH,56921,B2C,1000.0,Due on Receipt,2023-09-07
CUST-00073,,Alex,Green,seanmyers@example.net,001-382-350-7146,4573 Bailey Court,Bowenmouth,PA,42301,B2C,1000.0,Due on Receipt,2023-08-08
CUST-00074,,Kevin,Patrick,johnsonmatthew@example.org,+1-423-882-8258x6736,93796 Smith Forest Apt. 419,Port Monicaburgh,IA,48446,B2C,1000.0,Due on Receipt,2024-02-25
CUST-00075,,James,Wilson,orose@example.com,+1-369-469-1557x924,34125 William Manor Apt. 966,South Cynthia,OH,91390,B2C,1000.0,Due on Receipt,2025-05-30
CUST-00076,,Deanna,Cooke,tracytaylor@example.com,890.950.7236x887,772 Ariana Underpass Apt. 404,New Keith,NY,60443,B2C,1000.0,Due on Receipt,2024-08-29
CUST-00077,,Julia,Cannon,armstrongjoseph@example.net,(680)778-3613x407,1339 Callahan Ridge,Martinberg,MI,27583,B2C,1000.0,Due on Receipt,2025-03-09
CUST-00078,,Jamie,Brown,amanda98@example.org,444-794-8126x04223,672 Burton Lane,Jonesland,WV,53303,B2C,1000.0,Due on Receipt,2024-07-21
CUST-00079,,Kara,Neal,shawn75@example.net,5179518636,4589 Ashlee Oval Suite 001,Smithburgh,NC,58341,B2C,1000.0,Due on Receipt,2024-06-05
CUST-00080,Braun Group,James,Barker,nicoleturner@example.com,554-815-2064,103 Miller Ramp,New Erin,MI,01718,B2B,48854.6,Due on Receipt,2023-06-23
CUST-00081,,Heather,Montoya,ebenson@example.org,861.411.5542,89092 Bell Forest,South Christina,NC,58485,B2C,1000.0,Due on Receipt,2025-04-14
CUST-00082,,Jeff,Mosley,karenlawrence@example.com,(665)223-4138x999,89836 Lucas Tunnel Apt. 761,South Danielle,NV,09808,B2C,1000.0,Due on Receipt,2024-07-31
CUST-00083,Hatfield LLC,David,Valencia,rdiaz@example.org,001-871-809-1043x006,88924 Kyle Pass Apt. 285,Willisland,RI,41155,B2B,17035.15,Net 30,2024-12-10
CUST-00084,,Samuel,Ashley,brianmiller@example.com,479-290-4210,5884 Nathan Summit,Jessicaville,WV,04348,B2C,1000.0,Due on Receipt,2024-03-03
CUST-00085,,Lindsay,Nelson,bakertheresa@example.net,777-485-0792,91380 Michele Bridge Apt. 075,Moraburgh,NY,05136,B2C,1000.0,Due on Receipt,2024-08-19
CUST-00086,,Linda,Klein,pwalker@example.com,001-854-319-5180x238,4518 Smith Flats Suite 949,South Micheal,NY,65166,B2C,1000.0,Due on Receipt,2025-02-06
CUST-00087,Oconnor PLC,Kathleen,Sanchez,randolphandrew@example.net,(205)406-4138x367,03865 Villegas Corner Apt. 826,New Ashleychester,MN,87328,B2B,34580.51,Net 30,2023-09-26
CUST-00088,,Joel,Green,sara65@example.com,943.713.2912x127,85374 Baker Crest Apt. 249,East Marymouth,NY,19942,B2C,1000.0,Due on Receipt,2023-08-26
CUST-00089,"Wright, Kelly and Palmer",Erica,Green,anthonysullivan@example.com,+1-283-517-1210,65199 Lowery Club,North Jamesmouth,TX,17381,B2B,38575.03,Net 30,2023-08-27
CUST-00090,,Rebecca,Calderon,david70@example.org,001-566-470-6625,7209 Deborah Parks Suite 870,West Patrickchester,FL,26644,B2C,1000.0,Due on Receipt,2024-10-28
CUST-00091,,Nicole,Fox,mayokimberly@example.com,587.259.8564x2059,78593 Craig Shoals Apt. 480,New Meghan,GA,51412,B2C,1000.0,Due on Receipt,2024-03-18
CUST-00092,,Savannah,Frey,gregorywatkins@example.net,001-659-405-9929x378,10393 Alisha Alley Suite 932,Jennifermouth,TX,08307,B2C,1000.0,Due on Receipt,2023-07-04
CUST-00093,Willis and Sons,Kim,Mathis,susan56@example.net,454-752-2675,926 Gross Hill,East Jessica,MN,92514,B2B,31830.07,Net 30,2024-09-03
CUST-00094,,Peter,Gamble,whitelucas@example.net,791.472.5135,570 Clark Square,West Jonathanville,WA,94927,B2C,1000.0,Due on Receipt,2023-06-17
CUST-00095,,Brandon,Kim,acosta@example.com,(258)761-7932x7104,15262 Amy Course Suite 997,South Sherriburgh,OR,80103,B2C,1000.0,Due on Receipt,2025-05-08
CUST-00096,,Ryan,Brown,jamie36@example.net,+1-984-444-3106,0614 Gonzalez Burg,East Danielle,CT,11240,B2C,1000.0,Due on Receipt,2024-06-18
CUST-00097,,Megan,Parker,qruiz@example.com,286-625-6527,4349 Edward Square Apt. 158,Arellanoshire,IL,30321,B2C,1000.0,Due on Receipt,2024-08-19
CUST-00098,,Bruce,Hughes,rsheppard@example.com,001-437-341-6089,23320 Miller Springs Suite 329,Luisland,AR,11907,B2C,1000.0,Due on Receipt,2024-04-13
CUST-00099,,Angela,Arnold,april09@example.net,761.862.2999x11914,7997 Gerald Lodge Apt. 996,South Pamelamouth,WA,91008,B2C,1000.0,Due on Receipt,2023-12-18
CUST-00100,,Brandon,Alvarez,penny05@example.com,547-913-2475x4691,7850 Cameron Station,Taylorhaven,IL,75038,B2C,1000.0,Due on Receipt,2023-07-09
CUST-00101,,Glenn,Golden,marywright@example.com,2535457861,9727 Cooper Villages Suite 140,Williamsshire,OH,28592,B2C,1000.0,Due on Receipt,2025-04-12
CUST-00102,,Jeffrey,Perez,josephortiz@example.org,001-707-922-9034x944,74896 Adrian Shore Suite 899,Kennethville,MT,63643,B2C,1000.0,Due on Receipt,2023-08-05
CUST-00103,,Matthew,Hill,michelle44@example.org,(983)609-6520,6609 Matthew Station Apt. 875,Meganside,OK,24242,B2C,1000.0,Due on Receipt,2024-01-31
CUST-00104,,Connor,Anderson,jessica82@example.net,913-253-4655x49471,3816 Gutierrez Ways,East Victoria,NC,45415,B2C,1000.0,Due on Receipt,2024-04-29
CUST-00105,,Vanessa,Orozco,tthomas@example.org,001-917-352-5007x432,666 Sanford Lights,North Amandastad,NE,02346,B2C,1000.0,Due on Receipt,2025-05-09
CUST-00106,,Marco,Whitaker,andrewsmith@example.net,635.442.1689,44789 Hamilton Spur,West Wendy,OH,64749,B2C,1000.0,Due on Receipt,2024-03-22
CUST-00107,,Karen,Martin,osmith@example.net,(830)698-2150,010 Hannah Mall,Jamesside,GA,33627,B2C,1000.0,Due on Receipt,2024-06-19
CUST-00108,"Hernandez, Neal and Mccoy",Kevin,Stanley,cindy26@example.org,891.641.1739x34835,87375 Aaron Skyway,North Maryfort,WV,20049,B2B,16498.38,Net 60,2023-08-25
CUST-00109,,Kimberly,Jones,conwaydawn@example.com,247-201-2045x5611,255 Friedman Grove,West Lisaburgh,IN,15421,B2C,1000.0,Due on Receipt,2024-04-23
CUST-00110,Rivers-Nelson,Paul,Jefferson,zbanks@example.org,920-421-6979,9027 Rodriguez Loop Suite 014,Alexanderhaven,FL,97969,B2B,10813.36,Due on Receipt,2024-09-06
CUST-00111,"Cunningham, Levine and Santiago",Matthew,Mills,reynoldsjessica@example.com,(362)989-0028x772,54083 Powell Freeway Apt. 779,Millerfort,IA,59099,B2B,30142.56,Due on Receipt,2024-02-17
CUST-00112,Hooper Ltd,Denise,Garcia,jjohnson@example.org,799-248-8375,5899 Moran Lakes,Wilsonbury,WA,00788,B2B,22868.2,Due on Receipt,2024-03-08
CUST-00113,,Michael,Schultz,amy51@example.org,(372)861-4933,3516 Sara Villages,Port Patriciamouth,FL,86806,B2C,1000.0,Due on Receipt,2024-09-16
CUST-00114,,Stephanie,Taylor,vsmith@example.org,+1-369-878-2922,669 Joshua Junctions Suite 722,Morrisonhaven,WA,39680,B2C,1000.0,Due on Receipt,2025-04-01
CUST-00115,"Kelley, Edwards and Doyle",Angela,Robinson,claudiaroberts@example.com,+1-622-888-5158x7996,106 Brian Centers,West Karen,MS,21595,B2B,24317.79,Net 60,2024-01-25
CUST-00116,"King, Franco and Vaughn",Kenneth,Molina,howardshaun@example.net,+1-283-286-3840x6665,97359 Kimberly Fields Suite 721,East Jill,AR,16144,B2B,18028.18,Net 60,2024-04-04
CUST-00117,,Billy,Ramirez,david94@example.org,372-702-5909x47985,81826 Davis Forges,Lake Martin,TX,47791,B2C,1000.0,Due on Receipt,2024-01-31
CUST-00118,,Jeffery,Goodwin,wbarajas@example.net,7158739930,4840 Robertson Pass,Tuckerport,NJ,85898,B2C,1000.0,Due on Receipt,2023-11-13
CUST-00119,,Luke,Miller,jacksonstephanie@example.net,+1-801-333-6138,75011 Gregory Glen,New Lorraineview,RI,53930,B2C,1000.0,Due on Receipt,2024-04-13
CUST-00120,Mccoy-Hamilton,Andre,Nunez,maychristine@example.net,001-301-658-1449,6072 Derek Lock Suite 245,New Nancyberg,TX,16653,B2B,24652.03,Net 30,2023-07-19
CUST-00121,,Adam,Carlson,torreskaitlin@example.net,(436)282-2239x431,814 John Flat Suite 552,North Justin,MT,09650,B2C,1000.0,Due on Receipt,2025-05-16
CUST-00122,,James,Tucker,christina49@example.org,001-595-856-2053,2577 Howard Inlet Suite 812,Port Juanberg,CA,71098,B2C,1000.0,Due on Receipt,2023-11-16
CUST-00123,,Jose,Mercado,lunapatricia@example.net,+1-409-796-9308x4887,94278 Randy Parkway Apt. 392,South Erik,WA,74734,B2C,1000.0,Due on Receipt,2024-08-29
CUST-00124,"Brennan, Thomas and Dennis",Sheila,Williams,qhall@example.com,203.785.6770,844 Nicholas Lane,Brianaland,NC,68221,B2B,19988.09,Net 30,2023-12-29
CUST-00125,,Nicholas,Solomon,wgomez@example.com,490.482.7231x8432,136 Cortez Orchard Suite 739,Lake Martha,NY,03443,B2C,1000.0,Due on Receipt,2023-12-23
CUST-00126,,Bradley,Berry,dennishunt@example.net,(202)642-8699,79772 Maria Rapid,Port Brandi,KS,24340,B2C,1000.0,Due on Receipt,2024-10-13
CUST-00127,,Donna,Baker,sandra99@example.org,866.421.0388,79908 Christopher Shoals,New Amber,WY,00658,B2C,1000.0,Due on Receipt,2025-05-13
CUST-00128,,Sharon,Gregory,xboyd@example.org,001-686-937-6599x162,49864 Adam Summit,New Alexandrahaven,UT,01443,B2C,1000.0,Due on Receipt,2024-04-03
CUST-00129,"Harris, Brock and Ortiz",Daniel,Simmons,jose86@example.net,(994)663-6887x258,562 Julie Mission Apt. 138,Hartmanside,NC,80982,B2B,41676.67,Net 30,2024-12-09
CUST-00130,,Gabrielle,Williams,aoconnell@example.org,(379)261-1435,9849 Sonya Viaduct Apt. 770,Port Diane,FL,68416,B2C,1000.0,Due on Receipt,2024-01-25
CUST-00131,,James,Bowers,christinacraig@example.com,502.214.6566,84895 Richmond Harbor,New Sylvia,NV,60107,B2C,1000.0,Due on Receipt,2025-06-08
CUST-00132,,Richard,Smith,richardrodriguez@example.org,745.918.4894x76973,071 Jones Roads Apt. 356,Zacharytown,WV,92358,B2C,1000.0,Due on Receipt,2025-03-24
CUST-00133,,Jose,Mitchell,vnunez@example.org,+1-527-955-3942,34333 Mary Knolls,Port Daniel,FL,10788,B2C,1000.0,Due on Receipt,2024-11-22
CUST-00134,"Vasquez, Smith and Vincent",Susan,Charles,christine79@example.com,228.746.3920x8678,271 Stewart Branch Apt. 369,West Michaelview,NM,25031,B2B,27235.27,Due on Receipt,2024-08-16
CUST-00135,Young-Ruiz,Christie,Diaz,acoleman@example.net,001-855-864-7292x931,27026 Taylor Vista,Kristenport,DE,33396,B2B,35651.01,Due on Receipt,2024-08-26
CUST-00136,,Michele,Williams,vaughnbrian@example.com,317.754.5588x4506,982 Kelly Spring,Hamptonmouth,NJ,10778,B2C,1000.0,Due on Receipt,2024-04-07
CUST-00137,,Christina,Ford,mirandadavidson@example.com,(899)661-1253x55449,9876 Ivan Brooks Apt. 341,East Randy,NM,13025,B2C,1000.0,Due on Receipt,2023-08-05
CUST-00138,,Sharon,Kennedy,johnsonrandy@example.org,649-921-6433,82005 Lin Mountain,Amyberg,CT,91939,B2C,1000.0,Due on Receipt,2024-08-08
CUST-00139,,Gregory,Harper,omills@example.net,257-283-1745x6424,4780 Arroyo Neck,Albertchester,CT,38894,B2C,1000.0,Due on Receipt,2024-09-22
CUST-00140,,Jerry,Smith,jacob86@example.com,626.663.4163,3122 Rodriguez Motorway Suite 497,West Andrew,PA,07006,B2C,1000.0,Due on Receipt,2024-08-05
CUST-00141,,Andrew,Compton,joseph70@example.org,720-973-5647,1204 Jones Mountains,East Paula,PA,33279,B2C,1000.0,Due on Receipt,2025-03-12
CUST-00142,,Patrick,Smith,paulproctor@example.org,001-303-671-8376x452,435 Michelle Forge Apt. 365,East Laurashire,WA,16183,B2C,1000.0,Due on Receipt,2024-04-19
CUST-00143,,Kristina,Smith,perkinshannah@example.net,+1-725-413-2719x500,73585 Quinn Brooks,Howardberg,IL,33360,B2C,1000.0,Due on Receipt,2025-05-15
CUST-00144,,Benjamin,Mann,amy73@example.net,(385)457-4982,4857 Kimberly Parkways Suite 209,Kimberlybury,OH,42535,B2C,1000.0,Due on Receipt,2024-12-28
CUST-00145,,Bryan,Coffey,rlee@example.com,001-482-294-5651x181,73109 Barrett Pine,Brandonbury,TX,79924,B2C,1000.0,Due on Receipt,2024-12-25
CUST-00146,,Chad,Conrad,dianahebert@example.org,605.386.5094x801,113 Lopez Pine,New Colleen,IA,23949,B2C,1000.0,Due on Receipt,2024-08-23
CUST-00147,,Kara,Perry,mirandabarbara@example.net,961.722.8685x289,556 Mckenzie Islands Apt. 983,Cannonview,MO,47688,B2C,1000.0,Due on Receipt,2024-06-02
CUST-00148,,Seth,Sanders,birdcaitlin@example.net,(440)343-3504,5224 Preston Gateway,West Lisa,VT,12547,B2C,1000.0,Due on Receipt,2024-09-02
CUST-00149,Carroll-Robinson,Chris,Nguyen,sthompson@example.net,001-719-740-9610,1390 Brown Pine Apt. 589,West Wayne,DE,29441,B2B,45907.25,Due on Receipt,2023-10-13
CUST-00150,,Brent,Dennis,wmaddox@example.net,001-781-336-4622,086 Miller Parkway Suite 227,South Randall,TX,75386,B2C,1000.0,Due on Receipt,2023-11-16
CUST-00151,,Ann,Shea,johnadams@example.com,491-716-6553x55904,270 James Landing Apt. 110,New Sara,IA,38208,B2C,1000.0,Due on Receipt,2023-06-27
CUST-00152,,Matthew,Brock,shannon05@example.org,001-283-638-8487x920,43940 Pena Branch,South Donnastad,GA,14642,B2C,1000.0,Due on Receipt,2023-07-01
CUST-00153,,Kelly,Ware,yhall@example.net,001-215-279-8123x878,457 Garner Brook,Gabriellestad,NY,82451,B2C,1000.0,Due on Receipt,2024-02-06
CUST-00154,Ferrell PLC,Joshua,Brown,natasha08@example.com,525.862.1689,264 Cole Curve,Lake Dillon,CA,71457,B2B,27704.71,Net 30,2024-11-29
CUST-00155,,Lauren,Huffman,haley82@example.com,001-829-825-1881x252,4231 Jack Track Suite 999,New Jesse,SD,90596,B2C,1000.0,Due on Receipt,2023-07-07
CUST-00156,,Michael,Watts,manderson@example.com,001-252-667-7223x306,33127 Watts Way Suite 366,New Jillfurt,CT,94899,B2C,1000.0,Due on Receipt,2024-02-15
CUST-00157,,Phillip,Crosby,meyershannon@example.org,588.660.8680,4472 Phillips Center Apt. 771,East Kimberlyside,NH,18235,B2C,1000.0,Due on Receipt,2024-04-17
